model_name,seed,hidden_layer_sizes,alpha,learning_rate_init,batch_size,threshold,precision,recall,f1_score,roc_auc,average_precision,tn,fp,fn,tp
LogisticRegression,42,,,,,0.5200000000000001,0.3410355156183141,0.6703111858704794,0.45207033465683494,0.7578432196146901,0.4089943541528842,3646,1540,392,797
LogisticRegression,52,,,,,0.5700000000000002,0.3554766734279919,0.5895710681244744,0.4435305283138247,0.7536634667249634,0.3877000033693608,3915,1271,488,701
LogisticRegression,62,,,,,0.5800000000000002,0.3659957627118644,0.5811606391925989,0.44913877153071174,0.7683958266368306,0.4091638956293294,3989,1197,498,691
LogisticRegression,72,,,,,0.4800000000000001,0.32030075187969925,0.7165685449957948,0.4427123928293063,0.754378985669187,0.40186461471481544,3378,1808,337,852
LogisticRegression,82,,,,,0.5600000000000002,0.3549049820236261,0.5811606391925989,0.4406887755102041,0.7500320296898196,0.383435132585291,3930,1256,498,691
MLP,42,"(64, 32)",0.0001,0.001,64.0,0.16000000000000003,0.36545528787260106,0.7527333894028595,0.4920285871357889,0.803985758383589,0.45736452680880135,3632,1554,294,895
MLP,52,"(64, 32)",0.0001,0.001,64.0,0.28,0.40233977619532046,0.6652649285113541,0.5014263074484945,0.8139225844829695,0.45443087519719455,4011,1175,398,791
MLP,62,"(64, 32)",0.0001,0.001,64.0,0.22000000000000003,0.3933393339333933,0.735071488645921,0.5124596892406919,0.8212201641412135,0.46828578660634423,3838,1348,315,874
MLP,72,"(64, 32)",0.0001,0.001,64.0,0.22000000000000003,0.37489469250210616,0.7485281749369218,0.49957900645523434,0.8085443535792327,0.4475932384562964,3702,1484,299,890
MLP,82,"(64, 32)",0.0001,0.001,64.0,0.2,0.3773109243697479,0.7552565180824222,0.5032221910899412,0.8110541838559335,0.4419036924209103,3704,1482,291,898
MLP,42,"(128, 64)",0.0001,0.001,64.0,0.24000000000000005,0.40117994100294985,0.6862910008410429,0.5063605336642879,0.8179289716085586,0.46629696166841483,3968,1218,373,816
MLP,52,"(128, 64)",0.0001,0.001,64.0,0.23000000000000004,0.3914458391445839,0.7081581160639192,0.5041916167664671,0.8173910349952337,0.4663527374689554,3877,1309,347,842
MLP,62,"(128, 64)",0.0001,0.001,64.0,0.27,0.4110898661567878,0.7232968881412952,0.5242304175556233,0.8230731830570563,0.466794222716159,3954,1232,329,860
MLP,72,"(128, 64)",0.0001,0.001,64.0,0.26000000000000006,0.39671020803096274,0.6896551724137931,0.5036855036855037,0.8078787847335633,0.4624773827490375,3939,1247,369,820
MLP,82,"(128, 64)",0.0001,0.001,64.0,0.21000000000000002,0.38806620209059234,0.7493692178301093,0.5113342898134864,0.8141191413642929,0.4373841228162546,3781,1405,298,891
MLP,42,"(128, 64, 32)",0.0001,0.0005,64.0,0.2,0.3746341463414634,0.6459209419680404,0.4742204384069157,0.7827245313691484,0.4346342516954083,3904,1282,421,768
MLP,52,"(128, 64, 32)",0.0001,0.0005,64.0,0.22000000000000003,0.3987583572110793,0.7022708158116064,0.5086810843740481,0.818415174191238,0.46020175255315476,3927,1259,354,835
MLP,62,"(128, 64, 32)",0.0001,0.0005,64.0,0.18000000000000005,0.37654830718414534,0.767031118587048,0.5051232345610634,0.8153798948258509,0.45782597164693206,3676,1510,277,912
MLP,72,"(128, 64, 32)",0.0001,0.0005,64.0,0.21000000000000002,0.38838475499092556,0.719932716568545,0.5045682287061597,0.8117969483084594,0.45879645370147415,3838,1348,333,856
MLP,82,"(128, 64, 32)",0.0001,0.0005,64.0,0.21000000000000002,0.4178870292887029,0.6719932716568545,0.5153176394711383,0.8135135775071463,0.44593656560426015,4073,1113,390,799
MLP,42,"(128, 64)",0.001,0.0005,128.0,0.23000000000000004,0.38337801608579086,0.7216148023549201,0.5007295010213014,0.8127576768274032,0.4594682225687739,3806,1380,331,858
MLP,52,"(128, 64)",0.001,0.0005,128.0,0.24000000000000005,0.38760806916426516,0.6787216148023549,0.4934270865178844,0.7936245186221428,0.43668147728568607,3911,1275,382,807
MLP,62,"(128, 64)",0.001,0.0005,128.0,0.26000000000000006,0.4027777777777778,0.6585365853658537,0.4998404085541015,0.8088531360066582,0.4524324151480668,4025,1161,406,783
MLP,72,"(128, 64)",0.001,0.0005,128.0,0.24000000000000005,0.37324263038548755,0.6921783010933558,0.48497348261638185,0.7893127547576658,0.4323587646291069,3804,1382,366,823
MLP,82,"(128, 64)",0.001,0.0005,128.0,0.24000000000000005,0.4030720338983051,0.6400336417157275,0.4946376340591485,0.8016481586415131,0.4309933239556117,4059,1127,428,761
